codigo,nome,descricao,compatibilidade,marca,categoriaSistema,fornecedor
184420,"RODA CG 150 ESD 04/13 6 PALITOS PRETA","RODA CG 150 ESD 04/13 6 PALITOS PRETA","RODA CG 150 ESD 04/13 6 PALITOS PRETA",IRON,"Rodas e Pneus",MOTOCICLO
185338,"RODA JET 50 / 50X 125X TRAS PRETA","RODA JET 50 / 50X 125X TRAS PRETA","RODA JET 50 / 50X 125X TRAS PRETA",IRON,"Rodas e Pneus",MOTOCICLO
17276,"RODA JET 50 / 50X 125X DIANT PRETA","RODA JET 50 / 50X 125X DIANT PRETA","RODA JET 50 / 50X 125X DIANT PRETA",IRON,"Rodas e Pneus",MOTOCICLO
123214,"RODA CG 150 KS/ES 04/13 6 PALITOS PRETA","RODA CG 150 KS/ES 04/13 6 PALITOS PRETA","RODA CG 150 KS/ES 04/13 6 PALITOS PRETA",IRON,"Rodas e Pneus",MOTOCICLO
185328,"RODA NXR 125/150 160 KS/ES FR TAMBOR","RODA NXR 125/150 160 KS/ES FR TAMBOR","RODA NXR 125/150 160 KS/ES FR TAMBOR",IRON,"Rodas e Pneus",MOTOCICLO
184422,"RODA CG 150 ESD 14 6 PALITOS PRETA","RODA CG 150 ESD 14 6 PALITOS PRETA","RODA CG 150 ESD 14 6 PALITOS PRETA",IRON,"Rodas e Pneus",MOTOCICLO
196803,"RODA NXR 150/160 ESD FREIO DISCO","RODA NXR 150/160 ESD FREIO DISCO","RODA NXR 150/160 ESD FREIO DISCO",IRON,"Rodas e Pneus",MOTOCICLO
185341,"RODA CG 125 09 MOD PE DE GALINHA PRETA","RODA CG 125 09 MOD PE DE GALINHA PRETA","RODA CG 125 09 MOD PE DE GALINHA PRETA",IRON,"Rodas e Pneus",MOTOCICLO
185333,"RODA CG 150 KS/ES 04-13 MOD PE DE GALINHA PRETA","RODA CG 150 KS/ES 04-13 MOD PE DE GALINHA PRETA","RODA CG 150 KS/ES 04-13 MOD PE DE GALINHA PRETA",IRON,"Rodas e Pneus",MOTOCICLO
185332,"RODA POP 100/110I 6 PALITOS PRETA","RODA POP 100/110I 6 PALITOS PRETA","RODA POP 100/110I 6 PALITOS PRETA",IRON,"Rodas e Pneus",MOTOCICLO
185336,"RODA BIZ 125/110I 6 PALITOS PRETA","RODA BIZ 125/110I 6 PALITOS PRETA","RODA BIZ 125/110I 6 PALITOS PRETA",IRON,"Rodas e Pneus",MOTOCICLO
185329,"RODA POP 100/110I TAMBOR PE G PT","RODA POP 100/110I TAMBOR PE G PT","RODA POP 100/110I TAMBOR PE G PT",IRON,"Rodas e Pneus",MOTOCICLO
185342,"RODA CG 150 ESD 04-13 MOD PE DE GALINHA PRETA","RODA CG 150 ESD 04-13 MOD PE DE GALINHA PRETA","RODA CG 150 ESD 04-13 MOD PE DE GALINHA PRETA",IRON,"Rodas e Pneus",MOTOCICLO
